Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
2/13/2013,67.67784864,76.53977814,68.27207083,75.18026282,68.33547017,75.39575845,66.75514171,75.44901612,66.62531338,72.74883634
2/14/2013,67.6824862,76.53324474,68.28279332,75.18766526,68.34163638,75.43434435,66.76584723,75.46518715,66.68201074,72.75378806
2/15/2013,67.61614842,76.47921484,68.27484041,75.16690121,68.37973718,75.45807229,66.7757564,75.45194341,66.7395692,72.76572347
2/16/2013,67.63481721,76.48495691,68.20063476,75.18543723,68.46207594,75.41473595,66.73425095,75.36162925,66.80587996,72.76104757
2/17/2013,67.53066648,76.45570975,68.13184114,75.19998658,68.50667488,75.43200864,66.75400215,75.37547131,66.80077323,72.69613542
2/18/2013,67.52605364,76.48474078,68.13049074,75.22097067,68.51319304,75.47434671,66.78022416,75.37734283,66.8494236,72.68163025
2/19/2013,67.51939176,76.43872249,68.21647132,75.22356492,68.47525812,75.44300516,66.75430499,75.31409712,66.90827741,72.68567693
2/20/2013,67.57835693,76.44702699,68.12129758,75.15597223,68.51835839,75.43476516,66.74372277,75.27513503,66.92657491,72.65674514
2/21/2013,67.59565178,76.44109037,68.14784899,75.18122085,68.55632848,75.36273371,66.75233877,75.24152166,66.89580161,72.61318742
2/22/2013,67.59060679,76.43240348,68.15263344,75.1975841,68.50660837,75.37915685,66.748037,75.26170971,66.86866713,72.58189832
2/23/2013,67.55172561,76.40288357,68.13332126,75.19303113,68.49649241,75.35445292,66.75771471,75.22833352,66.92283146,72.58347208
2/24/2013,67.53821378,76.35236609,68.11204548,75.18253247,68.43523091,75.34008383,66.68488291,75.23026243,66.95758377,72.53725277
2/25/2013,67.52790954,76.30486844,68.20524451,75.19780958,68.38959419,75.30237551,66.65099737,75.16988669,67.01767589,72.53996127
2/26/2013,67.56407464,76.30875586,68.10889302,75.14432358,68.34913572,75.27988764,66.64607553,75.17509773,67.0744652,72.50420294
2/27/2013,67.60639092,76.32173011,68.01611165,75.0731428,68.29112646,75.24878708,66.62277018,75.10558711,67.08415639,72.51581783
2/28/2013,67.6122124,76.31310469,67.94546461,74.97666208,68.35102085,75.22424037,66.64176601,75.04160478,67.04476294,72.4651568
3/1/2013,67.50650199,76.27559655,67.85920842,74.95973829,68.3470149,75.21270531,66.60687983,75.04482018,67.02485772,72.43087918
3/2/2013,67.56778009,76.22738822,67.76377847,74.91815245,68.41011992,75.16245051,66.57710402,74.98614592,67.05750246,72.3889648
3/3/2013,67.5543802,76.19462996,67.85138188,74.91842827,68.36675509,75.13003581,66.54310516,74.93376101,67.115181,72.38418304
3/4/2013,67.51638971,76.19469754,67.82515243,74.92133184,68.34169123,75.09700487,66.56430416,74.90387522,67.13053975,72.33678722
3/5/2013,67.5462544,76.18723102,67.83750945,74.94624908,68.40356725,75.10452993,66.56578473,74.88906517,67.18107159,72.34226769
3/6/2013,67.55645582,76.16292688,67.80468831,74.96876397,68.42031899,75.1173944,66.5720745,74.84061647,67.20212312,72.30257545
3/7/2013,67.58060409,76.12634365,67.73301544,74.93365834,68.46020489,75.09417433,66.57653392,74.85717425,67.18743633,72.28821213
3/8/2013,67.53756132,76.10293292,67.71866069,74.92472624,68.49734817,75.09985146,66.60080627,74.81772331,67.16348447,72.27967942
3/9/2013,67.52256331,76.07034731,67.80520907,74.92961117,68.45328937,75.07197177,66.57554705,74.77539339,67.22010773,72.26749237
3/10/2013,67.47806619,76.07023211,67.73717741,74.93429081,68.40554288,75.03138263,66.55823936,74.7337402,67.17267195,72.22257757
