,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,fact
68,2022-03-02 22:30:14,71.83551834092749,71.82744264313565,71.84603947940161,71.83551834092749,71.83551834092749,0.0,0.0,0.0,0.0,0.0,0.0,71.83551834092749,71.83434
69,2022-03-02 22:30:15,71.83676548557345,71.82680515747408,71.8452938231498,71.83676548557345,71.83676548557345,0.0,0.0,0.0,0.0,0.0,0.0,71.83676548557345,71.83471999999999
70,2022-03-02 22:30:16,71.83801263021942,71.82846444644176,71.84749558344181,71.83801263021942,71.83801263021942,0.0,0.0,0.0,0.0,0.0,0.0,71.83801263021942,71.83610999999999
71,2022-03-02 22:30:17,71.8392597748654,71.83069368275879,71.84952469993482,71.8392597748654,71.8392597748654,0.0,0.0,0.0,0.0,0.0,0.0,71.8392597748654,71.83858000000001
72,2022-03-02 22:30:18,71.84050691951136,71.83220016991804,71.84926223282307,71.84050691951136,71.84050691951136,0.0,0.0,0.0,0.0,0.0,0.0,71.84050691951136,71.84295999999999
73,2022-03-02 22:30:19,71.84175406415733,71.83228527288337,71.8516008110487,71.84175406415733,71.84175406415733,0.0,0.0,0.0,0.0,0.0,0.0,71.84175406415733,71.84351
74,2022-03-02 22:30:20,71.84263190305157,71.8345608497699,71.8514742846173,71.84263190305157,71.84263190305157,0.0,0.0,0.0,0.0,0.0,0.0,71.84263190305157,71.84355
75,2022-03-02 22:30:21,71.84350974194581,71.83281433632683,71.8518672959035,71.84350974194581,71.84350974194581,0.0,0.0,0.0,0.0,0.0,0.0,71.84350974194581,71.84383000000001
76,2022-03-02 22:30:22,71.84438758084005,71.83467768319194,71.85389342983711,71.84438758084005,71.84438758084005,0.0,0.0,0.0,0.0,0.0,0.0,71.84438758084005,71.8442
77,2022-03-02 22:30:23,71.84526541973428,71.8363198338124,71.85456821832668,71.84526541973428,71.84526541973428,0.0,0.0,0.0,0.0,0.0,0.0,71.84526541973428,71.84451
78,2022-03-02 22:30:24,71.84614325862852,71.83702681194275,71.8541979899031,71.84614325862852,71.84614325862852,0.0,0.0,0.0,0.0,0.0,0.0,71.84614325862852,71.84561
79,2022-03-02 22:30:25,71.84702109752276,71.83767984066574,71.85553297900829,71.84702109752276,71.84702109752276,0.0,0.0,0.0,0.0,0.0,0.0,71.84702109752276,71.84685999999999
80,2022-03-02 22:30:26,71.847898936417,71.83910686657372,71.85833046331517,71.847898936417,71.847898936417,0.0,0.0,0.0,0.0,0.0,0.0,71.847898936417,71.84853000000001
81,2022-03-02 22:30:27,71.84877677531124,71.8399636528093,71.85699079036056,71.84877677531124,71.84877677531124,0.0,0.0,0.0,0.0,0.0,0.0,71.84877677531124,71.85122
82,2022-03-02 22:30:28,71.84965461420548,71.83940836734517,71.85855820247053,71.84965461420548,71.84965461420548,0.0,0.0,0.0,0.0,0.0,0.0,71.84965461420548,71.85183
83,2022-03-02 22:30:29,71.85053245309972,71.83956812463101,71.85919183487256,71.85053245309972,71.85053245309972,0.0,0.0,0.0,0.0,0.0,0.0,71.85053245309972,71.85194
84,2022-03-02 22:30:30,71.85141029199396,71.84276429354699,71.8595865521996,71.85141029199396,71.85141029199396,0.0,0.0,0.0,0.0,0.0,0.0,71.85141029199396,71.85238000000001
85,2022-03-02 22:30:31,71.8522881308882,71.84324755927291,71.86059243408619,71.8522881308882,71.8522881308882,0.0,0.0,0.0,0.0,0.0,0.0,71.8522881308882,71.8527
86,2022-03-02 22:30:32,71.85316596978244,71.843519255967,71.86132244408878,71.85316596978244,71.85316596978244,0.0,0.0,0.0,0.0,0.0,0.0,71.85316596978244,71.85374
87,2022-03-02 22:30:33,71.85404380867668,71.84406916102664,71.86615098027431,71.85404380867668,71.85404380867668,0.0,0.0,0.0,0.0,0.0,0.0,71.85404380867668,71.85455
88,2022-03-02 22:30:34,71.8549216475709,71.84645069068682,71.86325858469668,71.8549216475709,71.8549216475709,0.0,0.0,0.0,0.0,0.0,0.0,71.8549216475709,71.85501
89,2022-03-02 22:30:35,71.85579948646514,71.84756601185404,71.86590417808488,71.85579948646514,71.85579948646514,0.0,0.0,0.0,0.0,0.0,0.0,71.85579948646514,71.85554
90,2022-03-02 22:30:39,71.8593108420421,71.85026573131239,71.8670582975496,71.8593108420421,71.8593108420421,0.0,0.0,0.0,0.0,0.0,0.0,71.8593108420421,71.85715
91,2022-03-02 22:30:40,71.86018868093635,71.85188951950693,71.87043137057685,71.86018868093635,71.86018868093635,0.0,0.0,0.0,0.0,0.0,0.0,71.86018868093635,71.86007
92,2022-03-02 22:30:41,71.8609341276122,71.85341469573717,71.86834156449137,71.8609341276122,71.8609341276122,0.0,0.0,0.0,0.0,0.0,0.0,71.8609341276122,71.86062
93,2022-03-02 22:30:42,71.86167957428805,71.85131197360158,71.87178468295957,71.86167957428805,71.86167957428805,0.0,0.0,0.0,0.0,0.0,0.0,71.86167957428805,71.86237
94,2022-03-02 22:30:43,71.8624250209639,71.85365315680383,71.87246722516532,71.8624250209639,71.8624250209639,0.0,0.0,0.0,0.0,0.0,0.0,71.8624250209639,71.86269
95,2022-03-02 22:30:44,71.86317046763976,71.85530349175349,71.8754590811346,71.86317046763976,71.86317046763976,0.0,0.0,0.0,0.0,0.0,0.0,71.86317046763976,71.86324
96,2022-03-02 22:30:45,71.86391591431561,71.85484203884194,71.87360043994039,71.86391591431561,71.86391591431561,0.0,0.0,0.0,0.0,0.0,0.0,71.86391591431561,71.86369
97,2022-03-02 22:30:46,71.86466136099146,71.85593659037863,71.87389280726018,71.86466136099146,71.86466136099146,0.0,0.0,0.0,0.0,0.0,0.0,71.86466136099146,71.86375
98,2022-03-02 22:30:47,71.86540680766731,71.8563622048421,71.87409803058448,71.86540680766731,71.86540680766731,0.0,0.0,0.0,0.0,0.0,0.0,71.86540680766731,71.86414
99,2022-03-02 22:30:48,71.86615225434316,71.85739811089992,71.87554838023719,71.86615225434316,71.86615225434316,0.0,0.0,0.0,0.0,0.0,0.0,71.86615225434316,71.86480999999999
100,2022-03-02 22:30:49,71.86689770101903,71.85909553956265,71.8749385811996,71.86689770101903,71.86689770101903,0.0,0.0,0.0,0.0,0.0,0.0,71.86689770101903,71.86604
101,2022-03-02 22:30:50,71.86764314769488,71.85922650924165,71.87673625663047,71.86764314769488,71.86764314769488,0.0,0.0,0.0,0.0,0.0,0.0,71.86764314769488,71.86691
102,2022-03-02 22:30:51,71.86838859437073,71.85453859463418,71.87665548118325,71.86838859437073,71.86838859437073,0.0,0.0,0.0,0.0,0.0,0.0,71.86838859437073,71.8672
103,2022-03-02 22:30:52,71.86913404104658,71.86005902689998,71.87907690521567,71.86913404104658,71.86913404104658,0.0,0.0,0.0,0.0,0.0,0.0,71.86913404104658,71.86944
104,2022-03-02 22:30:53,71.86987948772243,71.85950794071651,71.87874424516693,71.86987948772243,71.86987948772243,0.0,0.0,0.0,0.0,0.0,0.0,71.86987948772243,71.86995
105,2022-03-02 22:30:54,71.87062493439828,71.86172422533997,71.88022135980654,71.87062493439828,71.87062493439828,0.0,0.0,0.0,0.0,0.0,0.0,71.87062493439828,71.87028000000001
106,2022-03-02 22:30:55,71.87137038107414,71.86342808554065,71.88031463712584,71.87137038107414,71.87137038107414,0.0,0.0,0.0,0.0,0.0,0.0,71.87137038107414,71.87040999999999
107,2022-03-02 22:30:56,71.87211582775,71.8630070950545,71.8827650426261,71.87211582775,71.87211582775,0.0,0.0,0.0,0.0,0.0,0.0,71.87211582775,71.87228
108,2022-03-02 22:30:57,71.87286127442584,71.86265856513955,71.8818853830956,71.87286127442584,71.87286127442584,0.0,0.0,0.0,0.0,0.0,0.0,71.87286127442584,71.87433
109,2022-03-02 22:30:58,71.8736067211017,71.8625219085638,71.88132857740776,71.8736067211017,71.8736067211017,0.0,0.0,0.0,0.0,0.0,0.0,71.8736067211017,71.87472
110,2022-03-02 22:30:59,71.87437974501475,71.86599655346195,71.8849927900972,71.87437974501475,71.87437974501475,0.0,0.0,0.0,0.0,0.0,0.0,71.87437974501475,71.87532
111,2022-03-02 22:31:00,71.8751527689278,71.86554911681961,71.88360850652757,71.8751527689278,71.8751527689278,0.0,0.0,0.0,0.0,0.0,0.0,71.8751527689278,71.8755
112,2022-03-02 22:31:01,71.87592579284086,71.86745771814378,71.88436867237488,71.87592579284086,71.87592579284086,0.0,0.0,0.0,0.0,0.0,0.0,71.87592579284086,71.87594
113,2022-03-02 22:31:02,71.87669881675392,71.8670678512332,71.88546501854954,71.87669881675392,71.87669881675392,0.0,0.0,0.0,0.0,0.0,0.0,71.87669881675392,71.87801999999999
114,2022-03-02 22:31:03,71.87747184066697,71.86719977347862,71.88632359109685,71.87747184066697,71.87747184066697,0.0,0.0,0.0,0.0,0.0,0.0,71.87747184066697,71.87875
115,2022-03-02 22:31:04,71.87824486458003,71.86989900641228,71.88557493375565,71.87824486458003,71.87824486458003,0.0,0.0,0.0,0.0,0.0,0.0,71.87824486458003,71.87888000000001
116,2022-03-02 22:31:05,71.87901788849308,71.87102590534097,71.88826888045627,71.87901788849308,71.87901788849308,0.0,0.0,0.0,0.0,0.0,0.0,71.87901788849308,71.87931
117,2022-03-02 22:31:06,71.87979091240614,71.87095457751451,71.88825268648657,71.87979091240614,71.87979091240614,0.0,0.0,0.0,0.0,0.0,0.0,71.87979091240614,71.87974
118,2022-03-02 22:31:09,71.8821099841453,71.87316763999283,71.89189914130328,71.8821099841453,71.8821099841453,0.0,0.0,0.0,0.0,0.0,0.0,71.8821099841453,71.88184
119,2022-03-02 22:31:10,71.88288300805836,71.87350679280333,71.89313898250455,71.88288300805836,71.88288300805836,0.0,0.0,0.0,0.0,0.0,0.0,71.88288300805836,71.88226999999999
120,2022-03-02 22:31:11,71.88365603197143,71.87490235137267,71.89562748195448,71.88365603197143,71.88365603197143,0.0,0.0,0.0,0.0,0.0,0.0,71.88365603197143,71.88254
121,2022-03-02 22:31:12,71.88442905588447,71.87609072410702,71.89243373378395,71.88442905588447,71.88442905588447,0.0,0.0,0.0,0.0,0.0,0.0,71.88442905588447,71.88293
122,2022-03-02 22:31:13,71.88520207979752,71.8761873300644,71.8939753789744,71.88520207979752,71.88520207979752,0.0,0.0,0.0,0.0,0.0,0.0,71.88520207979752,71.88600000000001
123,2022-03-02 22:31:14,71.88597510371058,71.87599023739499,71.8946310300822,71.88597510371058,71.88597510371058,0.0,0.0,0.0,0.0,0.0,0.0,71.88597510371058,71.8865
124,2022-03-02 22:31:15,71.88674812762363,71.8782147974657,71.8951868922795,71.88674812762363,71.88674812762363,0.0,0.0,0.0,0.0,0.0,0.0,71.88674812762363,71.88681
125,2022-03-02 22:31:16,71.88752115153669,71.87948983956957,71.89671350041779,71.88752115153669,71.88752115153669,0.0,0.0,0.0,0.0,0.0,0.0,71.88752115153669,71.88691999999999
126,2022-03-02 22:31:17,71.88829417544976,71.88027388598286,71.89959756915314,71.88829417544976,71.88829417544976,0.0,0.0,0.0,0.0,0.0,0.0,71.88829417544976,71.88795
127,2022-03-02 22:31:18,71.88906719936281,71.88117020917866,71.89781876620886,71.88906719936281,71.88906719936281,0.0,0.0,0.0,0.0,0.0,0.0,71.88906719936281,71.88969
128,2022-03-02 22:31:19,71.88984022327585,71.88077096668776,71.8975483437794,71.88984022327585,71.88984022327585,0.0,0.0,0.0,0.0,0.0,0.0,71.88984022327585,71.88995
129,2022-03-02 22:31:20,71.8906210085098,71.87997637606698,71.89849118376785,71.8906210085098,71.8906210085098,0.0,0.0,0.0,0.0,0.0,0.0,71.8906210085098,71.8906
130,2022-03-02 22:31:21,71.89140179374374,71.88153673895792,71.89919751329231,71.89140179374374,71.89140179374374,0.0,0.0,0.0,0.0,0.0,0.0,71.89140179374374,71.89109
131,2022-03-02 22:31:22,71.89218257897768,71.88343752177977,71.90056302962323,71.89218257897768,71.89218257897768,0.0,0.0,0.0,0.0,0.0,0.0,71.89218257897768,71.89154
132,2022-03-02 22:31:23,71.89296336421162,71.88412599187286,71.90347106457644,71.89296336421162,71.89296336421162,0.0,0.0,0.0,0.0,0.0,0.0,71.89296336421162,71.89168000000001
133,2022-03-02 22:31:24,71.89374414944557,71.88508140997543,71.90436253401204,71.89374414944557,71.89374414944557,0.0,0.0,0.0,0.0,0.0,0.0,71.89374414944557,71.89262
134,2022-03-02 22:31:25,71.89452493467951,71.88521405294438,71.9056123371993,71.89452493467951,71.89452493467951,0.0,0.0,0.0,0.0,0.0,0.0,71.89452493467951,71.8943
135,2022-03-02 22:31:26,71.89530571991345,71.88737609862729,71.90432057809767,71.89530571991345,71.89530571991345,0.0,0.0,0.0,0.0,0.0,0.0,71.89530571991345,71.89548
136,2022-03-02 22:31:27,71.8960865051474,71.88718049022555,71.9045526835638,71.8960865051474,71.8960865051474,0.0,0.0,0.0,0.0,0.0,0.0,71.8960865051474,71.89706
137,2022-03-02 22:31:28,71.89686729038134,71.8888475006456,71.90469620025226,71.89686729038134,71.89686729038134,0.0,0.0,0.0,0.0,0.0,0.0,71.89686729038134,71.89799000000001
138,2022-03-02 22:31:29,71.89764807561528,71.8889360545155,71.90668180686419,71.89764807561528,71.89764807561528,0.0,0.0,0.0,0.0,0.0,0.0,71.89764807561528,71.89888
139,2022-03-02 22:31:31,71.89920964608316,71.89155277050021,71.90686854671605,71.89920964608316,71.89920964608316,0.0,0.0,0.0,0.0,0.0,0.0,71.89920964608316,71.89996
